Pavlis, N.K., S.A. Holmes, S.C. Kenyon, and J.K. Factor:
An Earth Gravitational Model to Degree 2160: EGM2008,
presented at the 2008 General Assembly of the European Geosciences Union,
Vienna, Austria, April 13-18, 2008.


product_type                gravity_field
modelname                   EGM2008
earth_gravity_constant      0.3986004415E+15
radius                      0.63781363E+07
max_degree                  2190
errors                      calibrated
norm                        fully_normalized
tide_system                 tide_free

url                   http://earth-info.nima.mil/GandG/

 
 
key     L    M             C                       S                    sigma C             sigma S
gfc    10    4   -0.844715388074630D-07   -0.790255527979406D-07    0.1715837141D-11    0.1685872506D-11
gfc    10    5   -0.492894049964295D-07   -0.506137282060864D-07    0.2138050044D-11    0.2141170996D-11
gfc    10    6   -0.375849022022301D-07   -0.797688616388143D-07    0.2648268739D-11    0.2635493771D-11
gfc    10    7    0.826209286523474D-08   -0.304903703914366D-08    0.3161812047D-11    0.3169439904D-11
gfc    10    8    0.405981624580941D-07   -0.917138622482163D-07    0.4338699172D-11    0.4329214415D-11
gfc    10    9    0.125376631604340D-06   -0.379436584841270D-07    0.5088298058D-11    0.5089339716D-11
gfc    10   10    0.100435991936118D-06   -0.238596204211893D-07    0.4485425587D-11    0.4492976952D-11
gfc    11    0   -0.507683787085927D-07    0.000000000000000D+00    0.7585590986D-12    0.0000000000D+00
gfc    11    1    0.156127678638183D-07   -0.271235374123689D-07    0.7452185027D-12    0.8036122515D-12
gfc    11    2    0.201135250154855D-07   -0.990003954905590D-07    0.8606424948D-12    0.8092076047D-12
gfc    11    3   -0.305773531606647D-07   -0.148835345047152D-06    0.9938761038D-12    0.9860988538D-12
gfc    11    4   -0.379499015091407D-07   -0.637669897493018D-07    0.1408298701D-11    0.1384873073D-11
gfc    11    5    0.374192407050580D-07    0.495908160271967D-07    0.1723064630D-11    0.1724028181D-11
gfc    11    6   -0.156429128694775D-08    0.342735099884706D-07    0.2239526081D-11    0.2226699156D-11
gfc    11    7    0.465461661449953D-08   -0.898252194924903D-07    0.2629042863D-11    0.2633757471D-11
gfc    11    8   -0.630174049861897D-08    0.245446551115189D-07    0.3110698398D-11    0.3104168068D-11
gfc    11    9   -0.310727993686101D-07    0.420682585407293D-07    0.4301399768D-11    0.4302632213D-11
gfc    11   10   -0.522444922089646D-07   -0.184216383163730D-07    0.5043723530D-11    0.5047182552D-11
gfc    11   11    0.462340571475799D-07   -0.696711251523700D-07    0.4435207810D-11    0.4431129672D-11
gfc    12    0    0.364361922614572D-07    0.000000000000000D+00    0.6828731378D-12    0.0000000000D+00
gfc    12    1   -0.535856270449833D-07   -0.431656037232084D-07    0.6678206552D-12    0.7229860286D-12
gfc    12    2    0.142665936828290D-07    0.310937162901519D-07    0.7647850523D-12    0.7182354948D-12
gfc    12    3    0.396211271409354D-07    0.250622628960907D-07    0.8652130893D-12    0.8587184231D-12
gfc    12    4   -0.677284618097416D-07    0.383823469584472D-08    0.1200511279D-11    0.1181307883D-11
gfc    12    5    0.308775410911475D-07    0.759066416791107D-08    0.1493653959D-11    0.1494418734D-11
gfc    12    6    0.313421100991039D-08    0.389801868153392D-07    0.1899052444D-11    0.1888097600D-11
gfc    12    7   -0.190517957483100D-07    0.357268620672699D-07    0.2310224916D-11    0.2312853972D-11
gfc    12    8   -0.258866871220994D-07    0.169362538600173D-07    0.2742630216D-11    0.2738642610D-11
gfc    12    9    0.419147664170774D-07    0.249625636010847D-07    0.3179724783D-11    0.3179019714D-11
gfc    12   10   -0.619955079880774D-08    0.309398171578482D-07    0.4406917668D-11    0.4416716422D-11
gfc    12   11    0.113644952089825D-07   -0.638551119140755D-08    0.5202764066D-11    0.5203387539D-11
gfc    12   12   -0.242377235648074D-08   -0.110993698692881D-07    0.4492820470D-11    0.4493344430D-11
gfc    13    0    0.417293021685027D-07    0.000000000000000D+00    0.6278637116D-12    0.0000000000D+00
gfc    13    1   -0.514421009206120D-07    0.386910482386637D-07    0.6106810170D-12    0.6626857004D-12
gfc    13    2    0.553118515702855D-07   -0.626943474947239D-07    0.6956104508D-12    0.6526103864D-12
gfc    13    3   -0.215570388049647D-07    0.976866679032941D-07    0.7713251235D-12    0.7657484734D-12
gfc    13    4   -0.365127902764428D-08   -0.117512717960252D-07    0.1053446910D-11    0.1037029232D-11
gfc    13    5    0.583702330251927D-07    0.672244622794413D-07    0.1288280862D-11    0.1289419347D-11
gfc    13    6   -0.350445484464565D-07   -0.627356859556194D-08    0.1706223152D-11    0.1696627379D-11
gfc    13    7    0.301412465951003D-08   -0.732068659961970D-08    0.1981246448D-11    0.1983038343D-11
gfc    13    8   -0.100532117993105D-07   -0.985787032645980D-08    0.2445350764D-11    0.2441845776D-11
gfc    13    9    0.247702773255876D-07    0.458875609452034D-07    0.2869783677D-11    0.2868213259D-11
gfc    13   10    0.411080488026299D-07   -0.368403909177750D-07    0.3244889463D-11    0.3253736344D-11
gfc    13   11   -0.445213404110823D-07   -0.484141059455725D-08    0.4550952956D-11    0.4554784705D-11
gfc    13   12   -0.313130628228171D-07    0.879376493656904D-07    0.5344415592D-11    0.5341926097D-11
gfc    13   13   -0.612004732532594D-07    0.681501470347338D-07    0.4701046235D-11    0.4701545882D-11
gfc    14    0   -0.226681154094404D-07    0.000000000000000D+00    0.5834405174D-12    0.0000000000D+00
gfc    14    1   -0.187724885657433D-07    0.288602024410603D-07    0.5664744713D-12    0.6162880799D-12
gfc    14    2   -0.359186725681205D-07   -0.405327051356456D-08    0.6409352007D-12    0.6005265135D-12
gfc    14    3    0.365140497848863D-07    0.196941950099316D-07    0.7007855131D-12    0.6960903259D-12
gfc    14    4    0.160184144282003D-08   -0.226625156915448D-07    0.9342385554D-12    0.9198991086D-12
gfc    14    5    0.293092637238844D-07   -0.167894170071708D-07    0.1148722942D-11    0.1150002576D-11
gfc    14    6   -0.190674352461174D-07    0.245661933018802D-08    0.1491351169D-11    0.1482455750D-11
gfc    14    7    0.376297554551457D-07   -0.393364671078740D-08    0.1815996850D-11    0.1817279485D-11
gfc    14    8   -0.349417459823694D-07   -0.154475521495720D-07    0.2122161672D-11    0.2119183957D-11
gfc    14    9    0.319517827137725D-07    0.284642263273996D-07    0.2566852331D-11    0.2564717920D-11
gfc    14   10    0.388008374622606D-07   -0.129351349981739D-08    0.3013424214D-11    0.3016014564D-11
gfc    14   11    0.156475715628498D-07   -0.390403676399681D-07    0.3373155145D-11    0.3375401104D-11
gfc    14   12    0.846317130098805D-08   -0.311211374558506D-07    0.4689804265D-11    0.4688008292D-11
gfc    14   13    0.322437165995707D-07    0.451472951879378D-07    0.5538938502D-11    0.5535670807D-11
gfc    14   14   -0.518650713590088D-07   -0.481611072612157D-08    0.4738753819D-11    0.4739215236D-11
gfc    15    0    0.219216154508434D-08    0.000000000000000D+00    0.5485813922D-12    0.0000000000D+00
gfc    15    1    0.942942849227573D-08    0.104833279954842D-07    0.5311494785D-12    0.5789021769D-12
gfc    15    2   -0.205302993025519D-07   -0.303007325301024D-07    0.5985097273D-12    0.5601201545D-12
gfc    15    3    0.534162906407382D-07    0.176634209489453D-07    0.6450201972D-12    0.6409804997D-12
gfc    15    4   -0.401721760931603D-07    0.681343055884874D-08    0.8459317007D-12    0.8332846135D-12
gfc    15    5    0.122424622638639D-07    0.762075300880907D-08    0.1025196953D-11    0.1026591702D-11
gfc    15    6    0.328522324096078D-07   -0.364691072357445D-07    0.1363380880D-11    0.1355466081D-11
gfc    15    7    0.596540954755518D-07    0.507394600032322D-08    0.1604592604D-11    0.1605704167D-11
gfc    15    8   -0.320875010777956D-07    0.221729246735453D-07    0.1991555880D-11    0.1988792501D-11
gfc    15    9    0.132999993095746D-07    0.379914748780028D-07    0.2234424036D-11    0.2232410765D-11
gfc    15   10    0.102639183602256D-07    0.146906332576870D-07    0.2708655429D-11    0.2712325364D-11
