Pavlis, N.K., S.A. Holmes, S.C. Kenyon, and J.K. Factor:
An Earth Gravitational Model to Degree 2160: EGM2008,
presented at the 2008 General Assembly of the European Geosciences Union,
Vienna, Austria, April 13-18, 2008.


product_type                gravity_field
modelname                   EGM2008
earth_gravity_constant      0.3986004415E+15
radius                      0.63781363E+07
max_degree                  2190
errors                      calibrated
norm                        fully_normalized
tide_system                 tide_free

url                   http://earth-info.nima.mil/GandG/

 
 
key     L    M             C                       S                    sigma C             sigma S
gfc    57    3   -0.426838344418125D-08    0.394861272300679D-08    0.1500373992D-11    0.1501166891D-11
gfc    57    4   -0.723349663414721D-08   -0.603958485633653D-09    0.1538801929D-11    0.1509904028D-11
gfc    57    5   -0.285016630089359D-08    0.543841315161579D-09    0.1547084808D-11    0.1551108653D-11
gfc    57    6    0.132214033458996D-08   -0.142986029783710D-08    0.1614546687D-11    0.1601368204D-11
gfc    57    7   -0.655117792601087D-09    0.250917325230086D-10    0.1700954541D-11    0.1704621510D-11
gfc    57    8    0.392557600032194D-08    0.899946025735537D-08    0.1815416668D-11    0.1807992982D-11
gfc    57    9    0.217043921768901D-08   -0.434973186689993D-08    0.2037732320D-11    0.2035600189D-11
gfc    57   10   -0.207289561442157D-08    0.314130900758783D-08    0.2202036156D-11    0.2202135277D-11
gfc    57   11   -0.402937128108316D-08   -0.716111990463301D-08    0.2586188403D-11    0.2586074451D-11
gfc    57   12    0.605778170392241D-08    0.670839741930166D-08    0.2796721570D-11    0.2795330204D-11
gfc    57   13    0.725755419156923D-09   -0.214816880973687D-08    0.3348866606D-11    0.3346861873D-11
gfc    57   14   -0.878074780338642D-09    0.556196447340460D-08    0.3573332380D-11    0.3575180351D-11
gfc    57   15    0.742514401148608D-09    0.527949149666600D-08    0.4384314219D-11    0.4384433248D-11
gfc    57   16   -0.469703449680642D-13   -0.444387440721308D-08    0.4503662937D-11    0.4503495327D-11
gfc    57   17   -0.194350379500625D-08   -0.247284482802038D-08    0.5394646092D-11    0.5390942376D-11
gfc    57   18    0.112014041023050D-08    0.784247478845472D-09    0.5518989858D-11    0.5528414500D-11
gfc    57   19   -0.385025632448216D-08    0.406290387040274D-08    0.6551818974D-11    0.6551565800D-11
gfc    57   20    0.359269849667643D-08    0.312038453707094D-08    0.6624970313D-11    0.6623853309D-11
gfc    57   21   -0.611088007878867D-09    0.485252722404653D-09    0.7718268792D-11    0.7718438352D-11
gfc    57   22    0.245877962774735D-08    0.362551961660223D-09    0.7729171775D-11    0.7734541153D-11
gfc    57   23   -0.211633995255211D-08   -0.912986372690969D-09    0.8849237029D-11    0.8847039378D-11
gfc    57   24   -0.258422241481035D-08   -0.254086879942897D-08    0.8863184476D-11    0.8857662906D-11
gfc    57   25    0.660118583116798D-08   -0.269542353826336D-08    0.9944594091D-11    0.9941765329D-11
gfc    57   26   -0.186221836760258D-08   -0.479704951664186D-08    0.1005867768D-10    0.1005822152D-10
gfc    57   27    0.736586899228329D-09    0.694875211072070D-09    0.1103359807D-10    0.1103967101D-10
gfc    57   28   -0.357726766951832D-08    0.381609745406542D-10    0.1130103419D-10    0.1129797580D-10
gfc    57   29   -0.463716387592852D-09   -0.276304888530126D-08    0.1221647438D-10    0.1220929361D-10
gfc    57   30    0.637970332725163D-08    0.339547171924900D-08    0.1283249990D-10    0.1282410353D-10
gfc    57   31   -0.172157607749541D-08   -0.361916494339579D-08    0.1363326454D-10    0.1363007717D-10
gfc    57   32    0.466446457230972D-09   -0.164233302015635D-08    0.1437757616D-10    0.1439242698D-10
gfc    57   33    0.988553680679513D-09    0.440854944126237D-08    0.1532035585D-10    0.1531607320D-10
gfc    57   34   -0.277750406319078D-08    0.204513346206943D-08    0.1622446043D-10    0.1622519866D-10
gfc    57   35    0.233106962837310D-09   -0.371108069655014D-08    0.1738969711D-10    0.1739389887D-10
gfc    57   36   -0.143448362312461D-08   -0.573263511425686D-08    0.1815802841D-10    0.1813805793D-10
gfc    57   37    0.251119048147859D-08    0.242415030336229D-08    0.1969396309D-10    0.1970050222D-10
gfc    57   38    0.461647599068349D-08    0.452713662218378D-08    0.2000457508D-10    0.1999724966D-10
gfc    57   39    0.111691273652585D-08    0.730035644082271D-09    0.2211394920D-10    0.2211339696D-10
gfc    57   40    0.817765433374555D-09   -0.292290909245668D-09    0.2174016217D-10    0.2171276037D-10
gfc    57   41   -0.681839502514513D-09    0.210317518080979D-08    0.2444614512D-10    0.2444024541D-10
gfc    57   42   -0.935429037990882D-08    0.129708707792407D-08    0.2344384309D-10    0.2343568749D-10
gfc    57   43   -0.193309114276400D-08   -0.641880472002722D-08    0.2638182291D-10    0.2637761400D-10
gfc    57   44    0.215333963325339D-08   -0.142121152629939D-09    0.2541470586D-10    0.2542655271D-10
gfc    57   45   -0.150338963925973D-08    0.437431613785253D-08    0.2771289311D-10    0.2773306812D-10
gfc    57   46   -0.412356301939158D-08    0.242010414445411D-08    0.2905703799D-10    0.2908138087D-10
gfc    57   47   -0.113680171449593D-09   -0.104061854793028D-08    0.2832573720D-10    0.2833073127D-10
gfc    57   48   -0.131134033818326D-08    0.482524890903687D-08    0.3243237275D-10    0.3244984643D-10
gfc    57   49   -0.615191821001281D-09   -0.316791677917055D-08    0.2894448976D-10    0.2894665148D-10
gfc    57   50   -0.236206042910267D-08   -0.500333638636856D-08    0.3654994059D-10    0.3655987853D-10
gfc    57   51   -0.273669936306297D-08   -0.507071964917894D-08    0.3275871876D-10    0.3278004496D-10
gfc    57   52    0.336987245160024D-08    0.154528013477857D-10    0.3747970841D-10    0.3749014515D-10
gfc    57   53    0.419353470683547D-08   -0.145267812162934D-08    0.4341029748D-10    0.4343293836D-10
gfc    57   54   -0.564974211266986D-08    0.342966831500146D-08    0.3488146615D-10    0.3493887974D-10
gfc    57   55    0.278024403111785D-08    0.874380794500898D-09    0.5373000020D-10    0.5363679789D-10
gfc    57   56    0.652972656296101D-09    0.334102831399327D-08    0.6346312953D-10    0.6348051351D-10
gfc    57   57   -0.229756173926028D-08   -0.307409871377311D-08    0.4981323248D-10    0.4986436788D-10
gfc    58    0   -0.347390099127952D-08    0.000000000000000D+00    0.1580618475D-11    0.0000000000D+00
gfc    58    1   -0.198142183250709D-08   -0.120514944288508D-08    0.1514904027D-11    0.1644036772D-11
gfc    58    2    0.214556111713081D-08    0.503477799849976D-08    0.1630547311D-11    0.1537907889D-11
gfc    58    3   -0.417073579701880D-08   -0.553365410048995D-08    0.1592254513D-11    0.1593423058D-11
gfc    58    4   -0.278996698510867D-08   -0.186880564927431D-08    0.1631715268D-11    0.1601373158D-11
gfc    58    5    0.202726911364545D-08   -0.525348194484501D-09    0.1639023045D-11    0.1643192237D-11
gfc    58    6   -0.901947420527271D-09    0.120437845255909D-08    0.1706604495D-11    0.1692755514D-11
gfc    58    7   -0.511146435571484D-08    0.294983039040991D-08    0.1791797007D-11    0.1795582137D-11
gfc    58    8    0.411761610607363D-08    0.311779588729141D-08    0.1907177801D-11    0.1899429436D-11
gfc    58    9   -0.418921597573157D-08   -0.629729469333959D-08    0.2126842414D-11    0.2124535527D-11
gfc    58   10    0.239287334743182D-09   -0.202250491590631D-08    0.2296987560D-11    0.2297198971D-11
gfc    58   11   -0.326600657416489D-08   -0.453607748753852D-08    0.2676657208D-11    0.2676537075D-11
gfc    58   12    0.189369618394268D-08    0.608446385643818D-09    0.2900137036D-11    0.2898748980D-11
gfc    58   13   -0.375951032518284D-08    0.161669161239876D-09    0.3453307196D-11    0.3450975943D-11
gfc    58   14    0.462428846393419D-08   -0.175295429451927D-08    0.3690158312D-11    0.3692091184D-11
gfc    58   15    0.165717664408061D-08   -0.989568792564044D-09    0.4453282129D-11    0.4453211938D-11
gfc    58   16    0.114308683817324D-08   -0.141577591146471D-08    0.4639431786D-11    0.4638933607D-11
gfc    58   17    0.481349694102033D-08    0.221667384863505D-08    0.5580203674D-11    0.5576053145D-11
gfc    58   18    0.460103438032182D-08   -0.636577394108598D-09    0.5662106807D-11    0.5672303075D-11
gfc    58   19    0.215607409186626D-08   -0.476132303043886D-09    0.6814147153D-11    0.6814735310D-11
gfc    58   20   -0.290134425624985D-08    0.101881759536473D-08    0.6779994088D-11    0.6778823042D-11
gfc    58   21   -0.360753449255327D-09    0.486280007397552D-08    0.8070079920D-11    0.8070794208D-11
gfc    58   22    0.302528444390958D-08   -0.265329773642822D-08    0.7903754958D-11    0.7909004195D-11
gfc    58   23   -0.254040248048150D-09    0.260778289467771D-08    0.9297665728D-11    0.9296044421D-11
gfc    58   24   -0.313728147381850D-08   -0.195288654890420D-08    0.9046561320D-11    0.9042000631D-11
gfc    58   25    0.230986726545977D-08   -0.257623557351084D-08    0.1049390910D-10    0.1049020807D-10
gfc    58   26   -0.178631150366130D-08   -0.105449824846966D-09    0.1024221810D-10    0.1024182714D-10
gfc    58   27   -0.387155770110822D-08   -0.543579426176499D-08    0.1167471769D-10    0.1168075750D-10
gfc    58   28   -0.211743220776465D-08   -0.239749429511117D-08    0.1146796091D-10    0.1146534360D-10
gfc    58   29    0.265982579255039D-08   -0.279927037005063D-08    0.1292153637D-10    0.1291462816D-10
gfc    58   30    0.606205823113153D-08    0.326021583884203D-08    0.1294928936D-10    0.1294025849D-10
gfc    58   31   -0.348748685686611D-08    0.139370662405290D-08    0.1439960913D-10    0.1439859875D-10
gfc    58   32    0.202047368022051D-08    0.101972879067035D-08    0.1457946612D-10    0.1459315249D-10
gfc    58   33   -0.612891008598707D-09    0.138834951868658D-08    0.1591980203D-10    0.1591435852D-10
gfc    58   34   -0.232511687916635D-08    0.275018793180097D-08    0.1658361852D-10    0.1658546253D-10
gfc    58   35   -0.336765536701297D-08   -0.369128212159970D-09    0.1776892001D-10    0.1776781586D-10
gfc    58   36   -0.410743849926763D-08   -0.176879502489741D-08    0.1888902375D-10    0.1887160084D-10
gfc    58   37    0.232716376996967D-08   -0.272922870393088D-08    0.1970749922D-10    0.1971335858D-10
gfc    58   38   -0.519988605955695D-08    0.325330106646708D-09    0.2136758309D-10    0.2136245407D-10
gfc    58   39    0.562750255336003D-09   -0.132008836658743D-08    0.2164622109D-10    0.2164162962D-10
gfc    58   40    0.197024726504540D-08   -0.572348559459736D-08    0.2392062773D-10    0.2389220642D-10
gfc    58   41    0.239485608607096D-08    0.314499055567630D-08    0.2345385042D-10    0.2345358815D-10
gfc    58   42    0.860663567632028D-09   -0.169955457202581D-08    0.2631332816D-10    0.2630545782D-10
gfc    58   43   -0.159656279274536D-08   -0.292353688527094D-08    0.2517440090D-10    0.2516327924D-10
gfc    58   44    0.696105983804806D-08    0.671289750662206D-09    0.2827716711D-10    0.2828956885D-10
gfc    58   45   -0.119701872432845D-08    0.472805102908880D-08    0.2722969388D-10    0.2724779303D-10
gfc    58   46    0.162884125871955D-08    0.201665547119584D-08    0.2982291415D-10    0.2984819966D-10
gfc    58   47    0.419255886566688D-09   -0.808688459208799D-09    0.3030947299D-10    0.3032968266D-10
gfc    58   48   -0.159467093584598D-08   -0.349816316427824D-08    0.3034599960D-10    0.3035088794D-10
gfc    58   49    0.138220585945535D-08   -0.193728524110588D-09    0.3468953802D-10    0.3468691187D-10
gfc    58   50   -0.883193742572490D-09    0.621330074768704D-08    0.3105926509D-10    0.3107500927D-10
gfc    58   51    0.844178901200757D-09   -0.337566343513612D-08    0.3910411012D-10    0.3913552895D-10
gfc    58   52   -0.643040291759032D-09    0.438879856678902D-08    0.3492879217D-10    0.3492960471D-10
gfc    58   53   -0.527472605510813D-08   -0.246680394756461D-08    0.4007781282D-10    0.4006834039D-10
gfc    58   54   -0.296171030523079D-08   -0.753941172122911D-09    0.4622407535D-10    0.4620814247D-10
gfc    58   55    0.182443802323260D-08   -0.304633287037957D-08    0.3720921154D-10    0.3718097678D-10
gfc    58   56   -0.225288971533490D-09   -0.534293197132167D-09    0.5711837371D-10    0.5714803420D-10
gfc    58   57   -0.214104072267515D-08    0.890358856918398D-09    0.6739251702D-10    0.6738191868D-10
gfc    58   58   -0.155455604907062D-09    0.244791787795669D-09    0.5269493971D-10    0.5270149911D-10
gfc    59    0    0.354442202454392D-08    0.000000000000000D+00    0.1679874474D-11    0.0000000000D+00
gfc    59    1   -0.333884867004301D-08   -0.808072573770388D-09    0.1610876077D-11    0.1746604658D-11
gfc    59    2    0.470829455874728D-08    0.818063457032113D-09    0.1731947468D-11    0.1634898917D-11
gfc    59    3   -0.159264074377914D-08   -0.490125412856915D-08    0.1691559145D-11    0.1692999328D-11
gfc    59    4    0.322685700709394D-08    0.388261115903218D-08    0.1731900048D-11    0.1699964804D-11
gfc    59    5    0.241116152992327D-09   -0.521950427876030D-08    0.1738275762D-11    0.1742643533D-11
gfc    59    6   -0.506829711985934D-08    0.678950053048891D-10    0.1805912957D-11    0.1791431377D-11
gfc    59    7   -0.441630371543084D-08    0.582026675718177D-09    0.1890819542D-11    0.1894712184D-11
gfc    59    8    0.366677441570754D-08    0.604676159910398D-09    0.2004690859D-11    0.1996733097D-11
gfc    59    9   -0.206067191321605D-09   -0.117939868087364D-08    0.2228218924D-11    0.2225760332D-11
gfc    59   10    0.543561902903268D-08   -0.518043992787202D-08    0.2393576041D-11    0.2393898181D-11
gfc    59   11    0.571776739156334D-10   -0.247929020463587D-09    0.2786011999D-11    0.2785757980D-11
gfc    59   12    0.327958238750403D-08   -0.299872774572348D-08    0.3003240131D-11    0.3001625923D-11
gfc    59   13   -0.482653762724751D-08   -0.918257105842537D-09    0.3575863897D-11    0.3573609906D-11
gfc    59   14   -0.143075737471483D-08   -0.592836666697641D-08    0.3812767600D-11    0.3814749386D-11
gfc    59   15    0.765083471089797D-09   -0.203428342730449D-08    0.4659063271D-11    0.4658898239D-11
gfc    59   16   -0.117928339723575D-08   -0.117070684379928D-08    0.4795986471D-11    0.4795929333D-11
gfc    59   17    0.142242763998177D-08   -0.326477705736896D-09    0.5742453536D-11    0.5738328146D-11
gfc    59   18    0.220469845723200D-08   -0.282904565672582D-09    0.5884378327D-11    0.5894506883D-11
gfc    59   19    0.630255434834412D-10   -0.263109376674661D-08    0.6994119861D-11    0.6993760758D-11
gfc    59   20   -0.364098918250696D-08   -0.114009833841558D-08    0.7082184122D-11    0.7080903276D-11
gfc    59   21    0.396170734464108D-08   -0.332421128622139D-09    0.8271282505D-11    0.8271712078D-11
gfc    59   22    0.221844775484537D-08   -0.417245865541208D-08    0.8290668874D-11    0.8296295064D-11
gfc    59   23    0.440592084403594D-08    0.359566360969899D-08    0.9522071009D-11    0.9520253945D-11
gfc    59   24    0.795190934647719D-09   -0.684427133856053D-10    0.9529342205D-11    0.9524746752D-11
gfc    59   25    0.197363182257984D-08   -0.202745775013470D-08    0.1073079602D-10    0.1072646042D-10
gfc    59   26    0.838484737502838D-09    0.994077185978469D-08    0.1081913205D-10    0.1081826139D-10
gfc    59   27   -0.323365991838360D-08   -0.130600158259139D-08    0.1190353389D-10    0.1191110282D-10
gfc    59   28    0.281494051343753D-09   -0.380744808727504D-09    0.1212810526D-10    0.1212466855D-10
gfc    59   29   -0.411732925098236D-08   -0.568509871256853D-09    0.1312401459D-10    0.1311722892D-10
gfc    59   30   -0.311950862628691D-08   -0.203378299163426D-08    0.1371728387D-10    0.1370939459D-10
gfc    59   31   -0.160266237317701D-08    0.410729508117989D-08    0.1452858181D-10    0.1452453397D-10
gfc    59   32    0.155732267195371D-08   -0.880051114601028D-09    0.1530148968D-10    0.1531573005D-10
gfc    59   33   -0.782275945620150D-09   -0.244589018752765D-11    0.1615925842D-10    0.1615492607D-10
gfc    59   34    0.157950792764488D-08   -0.559996508586123D-09    0.1723536140D-10    0.1723725428D-10
gfc    59   35   -0.241113604559714D-08   -0.134209047671651D-08    0.1819298053D-10    0.1819567791D-10
gfc    59   36    0.440364158580187D-09    0.992865289140251D-09    0.1933839361D-10    0.1931764879D-10
gfc    59   37   -0.101073327062968D-08   -0.149468600175986D-08    0.2053642782D-10    0.2054405250D-10
gfc    59   38   -0.103894618627294D-08    0.493751743024153D-08    0.2142940342D-10    0.2142239778D-10
gfc    59   39   -0.266960828685154D-08    0.523507624361886D-09    0.2312983357D-10    0.2312950192D-10
gfc    59   40   -0.762479536450707D-08    0.548292097236793D-09    0.2343709699D-10    0.2340678224D-10
gfc    59   41   -0.719965896275593D-09    0.101763513823716D-08    0.2580956661D-10    0.2579940316D-10
gfc    59   42   -0.164368120365358D-08   -0.774274766079670D-09    0.2527055773D-10    0.2526027274D-10
gfc    59   43   -0.299967267060960D-08   -0.300353067078315D-08    0.2827932489D-10    0.2827980403D-10
gfc    59   44    0.539107442850042D-08   -0.333767627993008D-08    0.2696093931D-10    0.2697675749D-10
gfc    59   45    0.684778674706031D-08   -0.153122771849993D-08    0.3036035966D-10    0.3039167977D-10
gfc    59   46    0.451275355205820D-08    0.217189340447005D-08    0.2980703650D-10    0.2982810823D-10
gfc    59   47    0.505542256530317D-09    0.492964478138218D-08    0.3178373490D-10    0.3180153460D-10
gfc    59   48    0.330305093601688D-08    0.611724523746057D-08    0.3235989083D-10    0.3237490794D-10
gfc    59   49   -0.202929017901316D-08    0.380207858035687D-08    0.3238264195D-10    0.3238199952D-10
gfc    59   50   -0.460948223557356D-08    0.223818216233450D-08    0.3702910454D-10    0.3703586016D-10
gfc    59   51   -0.616207468611993D-09   -0.894611341976231D-09    0.3296951188D-10    0.3299397062D-10
gfc    59   52   -0.578662029844427D-08   -0.120303506410873D-08    0.4167517954D-10    0.4168158084D-10
gfc    59   53   -0.191115612697743D-08   -0.395559095018727D-08    0.3713195562D-10    0.3715239729D-10
gfc    59   54   -0.338508093359896D-08   -0.302266376678745D-08    0.4265950068D-10    0.4266311277D-10
gfc    59   55   -0.364570340497830D-09    0.188425208100249D-08    0.4915510864D-10    0.4920130640D-10
gfc    59   56    0.486678865036803D-08   -0.299079753568228D-08    0.3953210094D-10    0.3952471638D-10
gfc    59   57    0.442105981100849D-08   -0.191855290172887D-08    0.6075152765D-10    0.6074268591D-10
gfc    59   58    0.173568794690827D-08   -0.215991100287531D-08    0.7131634419D-10    0.7129903149D-10
gfc    59   59    0.209837263691737D-08    0.157277877627281D-09    0.5638709072D-10    0.5638651413D-10
gfc    60    0   -0.873028135145518D-09    0.000000000000000D+00    0.1787170156D-11    0.0000000000D+00
gfc    60    1    0.187727663926098D-08   -0.132825013933017D-08    0.1714532144D-11    0.1857147759D-11
gfc    60    2    0.348789253438793D-08   -0.190174042720359D-08    0.1841441932D-11    0.1739835115D-11
gfc    60    3    0.281082582947237D-08   -0.240240785948665D-09    0.1798680014D-11    0.1800467785D-11
gfc    60    4    0.765710755689231D-08   -0.204227239232493D-09    0.1840120286D-11    0.1806543032D-11
gfc    60    5   -0.218398145144929D-08    0.145701310215803D-08    0.1845530693D-11    0.1849971516D-11
gfc    60    6   -0.387518677991441D-08   -0.243385342717887D-08    0.1913359831D-11    0.1898214361D-11
gfc    60    7   -0.857821683349787D-09   -0.224288507220279D-08    0.1997174718D-11    0.2001125941D-11
gfc    60    8    0.317963200301667D-08   -0.224391651384230D-08    0.2111983929D-11    0.2103750918D-11
gfc    60    9    0.993291782513661D-09    0.334755923102894D-08    0.2333006223D-11    0.2330334080D-11
gfc    60   10    0.191293530306098D-09   -0.109988336620401D-08    0.2504044488D-11    0.2504515096D-11
gfc    60   11    0.287309232103520D-08    0.486313267853635D-08    0.2892452719D-11    0.2892286631D-11
gfc    60   12   -0.594145468360821D-09   -0.367530033714936D-08    0.3122079957D-11    0.3120395991D-11
gfc    60   13   -0.848881555154454D-09    0.472215068520715D-09    0.3696923983D-11    0.3694317630D-11
gfc    60   14   -0.223856634932075D-08   -0.556339079328926D-09    0.3944999081D-11    0.3947093214D-11
gfc    60   15    0.411594458342910D-10   -0.110383697710038D-08    0.4745933730D-11    0.4745711906D-11
gfc    60   16   -0.381857644114737D-08   -0.892136478238343D-09    0.4948035656D-11    0.4947656013D-11
gfc    60   17   -0.458193387337145D-08    0.216707532828768D-08    0.5948390470D-11    0.5943814290D-11
gfc    60   18   -0.804406255488359D-09   -0.310877906435451D-08    0.6044988365D-11    0.6055781381D-11
gfc    60   19    0.214290723880314D-08   -0.302013731810922D-08    0.7280183853D-11    0.7280647459D-11
gfc    60   20   -0.788613839159239D-09    0.456756555007491D-09    0.7257754804D-11    0.7256469955D-11
gfc    60   21    0.823074684938221D-09   -0.437022275301779D-08    0.8652109023D-11    0.8653178745D-11
gfc    60   22    0.289283829096129D-08    0.393724555944202D-08    0.8489828028D-11    0.8495139962D-11
gfc    60   23    0.634555559899883D-08   -0.273466165170813D-08    0.1000703509D-10    0.1000578178D-10
gfc    60   24   -0.213980248521681D-08    0.108607000420080D-08    0.9744012122D-11    0.9740274445D-11
gfc    60   25    0.197975068503990D-08   -0.211443504094908D-09    0.1132923901D-10    0.1132391794D-10
gfc    60   26    0.402742285597310D-08    0.429973327462820D-08    0.1104147389D-10    0.1104086556D-10
gfc    60   27   -0.425474497191058D-08    0.287930535054496D-08    0.1261659246D-10    0.1262412913D-10
gfc    60   28    0.112188684096490D-08   -0.223181277999075D-08    0.1232878896D-10    0.1232528755D-10
gfc    60   29    0.214263206015738D-08    0.344220478965188D-08    0.1394045729D-10    0.1393407027D-10
gfc    60   30   -0.529096024869246D-08   -0.290319702078140D-08    0.1383628719D-10    0.1382790113D-10
gfc    60   31    0.425738867679731D-08    0.440169025297077D-09    0.1546933527D-10    0.1546668219D-10
gfc    60   32   -0.543748417579937D-09   -0.246069685901983D-09    0.1544316137D-10    0.1545573149D-10
gfc    60   33   -0.439522180693912D-08    0.406230526379225D-08    0.1702597006D-10    0.1702235043D-10
gfc    60   34    0.477370848863954D-08   -0.237486345751294D-08    0.1741672528D-10    0.1741898688D-10
gfc    60   35    0.670124925807689D-10   -0.881318269377254D-09    0.1895838989D-10    0.1895653225D-10
gfc    60   36    0.198890694527995D-08   -0.862960190589599D-09    0.1973073303D-10    0.1971264232D-10
gfc    60   37   -0.281066166684822D-08    0.803087515041086D-09    0.2105021361D-10    0.2105805206D-10
gfc    60   38    0.185019059240589D-08    0.760294120566138D-09    0.2230224172D-10    0.2229785793D-10
gfc    60   39   -0.146067033229987D-08   -0.458840458415934D-08    0.2324587360D-10    0.2324059603D-10
gfc    60   40   -0.613915969798381D-09    0.132666649501236D-08    0.2507235444D-10    0.2504356419D-10
gfc    60   41    0.343164896941121D-09   -0.147308434722917D-08    0.2534371990D-10    0.2534112717D-10
gfc    60   42    0.123220214724568D-08    0.364487946759950D-08    0.2783832354D-10    0.2783203823D-10
gfc    60   43    0.343638087400256D-08    0.480553494969372D-09    0.2719831684D-10    0.2718593417D-10
gfc    60   44    0.154572897397757D-08   -0.148691455823336D-08    0.3035066390D-10    0.3036347419D-10
gfc    60   45    0.405875396972387D-08   -0.437935726266295D-08    0.2894346557D-10    0.2896802730D-10
gfc    60   46    0.166534532055640D-08    0.233319089259066D-10    0.3265955881D-10    0.3269792686D-10
gfc    60   47    0.129238945743055D-08    0.262981345469509D-08    0.3112942709D-10    0.3114786179D-10
gfc    60   48   -0.429386102285391D-08   -0.397535208728928D-08    0.3410202594D-10    0.3411480103D-10
gfc    60   49    0.585349091229195D-08   -0.383096553619749D-08    0.3456939878D-10    0.3456297648D-10
gfc    60   50    0.238362636706276D-08    0.332076539415561D-08    0.3484686899D-10    0.3487258357D-10
gfc    60   51   -0.245452376502644D-08   -0.163786039488680D-08    0.3954358723D-10    0.3957271211D-10
gfc    60   52    0.363414483320561D-08    0.517318219365017D-08    0.3526582923D-10    0.3527307750D-10
gfc    60   53   -0.797167281691942D-09    0.532564075916529D-08    0.4451041421D-10    0.4451697769D-10
gfc    60   54    0.459597253675488D-08   -0.335014518239223D-08    0.3954201501D-10    0.3952483658D-10
gfc    60   55    0.289183122659318D-08    0.232555631491543D-08    0.4556451426D-10    0.4558977250D-10
gfc    60   56   -0.144515250981558D-08   -0.217626735455757D-08    0.5225422001D-10    0.5222774582D-10
gfc    60   57   -0.199727229560439D-08   -0.734653848145407D-10    0.4223266264D-10    0.4223227306D-10
gfc    60   58   -0.181803595988164D-08    0.258885482253326D-08    0.6450973140D-10    0.6449227362D-10
gfc    60   59   -0.244928116592872D-08    0.842582222712943D-09    0.7571375141D-10    0.7569623852D-10
gfc    60   60    0.381912311575920D-08    0.171232808240192D-10    0.5959607936D-10    0.5924920417D-10
gfc    61    0    0.347901444604007D-08    0.000000000000000D+00    0.1902790392D-11    0.0000000000D+00
gfc    61    1    0.287034698457739D-08    0.272346394037021D-08    0.1826337889D-11    0.1976315366D-11
gfc    61    2   -0.143485475410367D-08   -0.143625842155543D-08    0.1959453929D-11    0.1852936087D-11
gfc    61    3    0.903759822819293D-09    0.522021890069293D-08    0.1914148059D-11    0.1916384570D-11
gfc    61    4   -0.252678330290492D-09   -0.208656768526340D-08    0.1956894675D-11    0.1921491396D-11
gfc    61    5    0.857828167098215D-09   -0.127728181156831D-08    0.1961185006D-11    0.1965750197D-11
gfc    61    6    0.423648243902633D-08   -0.340626861908738D-08    0.2029350786D-11    0.2013516850D-11
gfc    61    7   -0.783343038315430D-11    0.664520899889761D-09    0.2112754154D-11    0.2116863188D-11
gfc    61    8    0.192693961012883D-08   -0.194005036550542D-08    0.2226490740D-11    0.2217942792D-11
gfc    61    9    0.234340783830735D-08    0.367642527603603D-08    0.2451028128D-11    0.2448153933D-11
gfc    61   10    0.157781559626000D-08    0.941773152470833D-09    0.2617860543D-11    0.2618462598D-11
gfc    61   11    0.173486889730268D-08    0.290693230685412D-08    0.3018316957D-11    0.3017991162D-11
gfc    61   12    0.122535360838899D-08   -0.922343506833808D-09    0.3242736872D-11    0.3240764364D-11
gfc    61   13    0.352090147452471D-08   -0.266897650926122D-08    0.3835866864D-11    0.3833360193D-11
gfc    61   14   -0.275734461324221D-08    0.899155521087879D-09    0.4085961016D-11    0.4088134556D-11
gfc    61   15    0.145624966898055D-08   -0.233988782778347D-09    0.4968806230D-11    0.4968612004D-11
gfc    61   16   -0.196974998211113D-08   -0.261236273520404D-09    0.5124481264D-11    0.5124636282D-11
gfc    61   17   -0.146880703653701D-08    0.167271754899712D-09    0.6128351481D-11    0.6123735173D-11
gfc    61   18   -0.471731817419696D-08   -0.345150776463998D-08    0.6289844439D-11    0.6300532457D-11
gfc    61   19    0.184725054921346D-08    0.159109211589213D-08    0.7479201972D-11    0.7478920914D-11
gfc    61   20    0.274951288903457D-08    0.152783845469230D-08    0.7586221436D-11    0.7584645866D-11
gfc    61   21   -0.316354420114114D-08    0.302705785051619D-08    0.8875924247D-11    0.8876664965D-11
gfc    61   22    0.136887087907564D-08    0.236162401583605D-08    0.8908681730D-11    0.8914381881D-11
gfc    61   23   -0.464757693777428D-08   -0.967921895575556D-09    0.1025823207D-10    0.1025669846D-10
gfc    61   24    0.294075786709264D-08    0.354753779188458D-08    0.1026663040D-10    0.1026278767D-10
gfc    61   25    0.351200937789009D-09   -0.232920343573232D-08    0.1160113561D-10    0.1159519459D-10
gfc    61   26    0.719375660484591D-09   -0.548642455147251D-08    0.1167066970D-10    0.1166949424D-10
gfc    61   27   -0.481581418416053D-09    0.173970197956886D-08    0.1288546275D-10    0.1289462806D-10
gfc    61   28    0.583649854070376D-08   -0.260338493514029D-08    0.1306806263D-10    0.1306376904D-10
gfc    61   29    0.167625060239341D-09    0.238946179379030D-08    0.1417945927D-10    0.1417304628D-10
gfc    61   30    0.165800194768179D-09    0.111906750395791D-08    0.1473041097D-10    0.1472272785D-10
gfc    61   31    0.299967726793267D-08    0.279677649508214D-09    0.1560785060D-10    0.1560243323D-10
gfc    61   32   -0.313706061955134D-09    0.602667854714864D-08    0.1635605894D-10    0.1636914381D-10
gfc    61   33   -0.321837043567023D-08    0.219034158239932D-09    0.1719760083D-10    0.1719413809D-10
