Starting processing for station: 'ACOR'.
Processing finished for station: 'ACOR'.
Starting processing for station: 'MADR'.
Processing finished for station: 'MADR'.
Starting processing for station: 'SCOA'.
Processing finished for station: 'SCOA'.
Starting processing for station: 'SFER'.
Processing finished for station: 'SFER'.
Starting processing for station: 'TLSE'.
Processing finished for station: 'TLSE'.
3330.00000 0.00992 0.07673 -0.04066 2.22018
3360.00000 0.01449 0.05340 -0.04106 2.21598
3390.00000 0.01180 0.04973 -0.01858 2.21436
3420.00000 0.02287 0.04791 -0.01558 2.21351
3450.00000 0.01637 0.03819 -0.00154 2.21014
3480.00000 0.01855 0.02419 -0.00864 2.20829
3510.00000 0.00728 0.01284 0.00814 2.20746
3540.00000 0.02271 0.00698 0.02895 2.20711
3570.00000 0.02721 0.01617 0.02052 2.20634
3600.00000 0.00730 0.01489 0.01634 2.20615
3630.00000 0.00935 0.01250 0.00886 2.20534
3660.00000 0.01793 0.01047 0.01442 2.20528
3690.00000 0.01575 0.00393 0.02534 2.20520
3720.00000 0.02076 0.00777 0.02145 2.20342
3750.00000 0.01596 -0.00375 0.00541 2.20350
3780.00000 0.00221 0.00010 0.00290 2.20313
3810.00000 0.00142 -0.00892 0.01679 2.20242
3840.00000 0.01104 -0.00390 0.01615 2.20130
3870.00000 0.01869 -0.02125 0.02871 2.20114
3900.00000 0.01983 -0.00729 0.02825 2.20122
3930.00000 0.02338 -0.00292 0.03133 2.20123
3960.00000 0.03256 -0.00656 0.02128 2.20208
3990.00000 0.01421 -0.00918 0.03675 2.20369
4020.00000 0.01206 -0.00437 0.03544 2.20421
4050.00000 0.02436 -0.00406 0.02586 2.20471
4080.00000 0.01519 -0.00278 0.04054 2.20555
4110.00000 0.01797 -0.00871 0.03487 2.20528
4140.00000 0.02413 -0.00365 0.03418 2.20542
4170.00000 0.02092 -0.00745 0.02666 2.20510
4200.00000 0.01870 -0.01158 0.03463 2.20609
4230.00000 0.02237 -0.01347 0.04230 2.20653
4260.00000 0.03222 -0.00816 0.03579 2.20547
4290.00000 0.03438 -0.02158 0.03147 2.20551
4320.00000 0.01366 -0.02665 0.03567 2.20558
4350.00000 0.02632 -0.03095 0.04858 2.20583
4380.00000 0.04311 -0.02886 0.05095 2.20582
4410.00000 0.02997 -0.03367 0.05734 2.20618
4440.00000 0.02740 -0.04047 0.05603 2.20609
4470.00000 0.02717 -0.05036 0.06857 2.20616
4500.00000 0.01242 -0.04571 0.06678 2.20669
4530.00000 0.03127 -0.05314 0.07362 2.20657
4560.00000 0.02096 -0.06066 0.08849 2.20687
4590.00000 0.01488 -0.05270 0.08420 2.20769
4620.00000 0.01695 -0.05570 0.08695 2.20798
4650.00000 0.02367 -0.06212 0.09258 2.20803
4680.00000 0.01575 -0.06697 0.09299 2.20860
4710.00000 0.01327 -0.06307 0.09007 2.20940
4740.00000 0.02106 -0.06740 0.07295 2.20943
4770.00000 0.02428 -0.06250 0.07891 2.21003
4800.00000 0.02538 -0.06924 0.08360 2.20986
4830.00000 0.01677 -0.07357 0.06809 2.20976
4860.00000 0.01709 -0.07222 0.08508 2.21010
4890.00000 0.01910 -0.07809 0.08348 2.20999
4920.00000 0.01850 -0.07483 0.09944 2.21051
4950.00000 0.01013 -0.07446 0.09482 2.21071
4980.00000 0.01097 -0.07254 0.10251 2.21085
5010.00000 0.01624 -0.07450 0.10451 2.21152
5040.00000 0.01245 -0.07050 0.11144 2.21240
5070.00000 0.01707 -0.07009 0.10250 2.21330
5100.00000 0.02237 -0.06286 0.09764 2.21422
5130.00000 0.02002 -0.05851 0.09929 2.21465
5160.00000 0.02872 -0.06342 0.08319 2.21493
5190.00000 0.02183 -0.06628 0.07835 2.21538
5220.00000 0.02251 -0.06216 0.08094 2.21610
5250.00000 0.02808 -0.05656 0.07877 2.21622
5280.00000 0.02933 -0.06061 0.08041 2.21643
5310.00000 0.02625 -0.06367 0.08314 2.21654
5340.00000 0.01469 -0.06452 0.06599 2.21713
5370.00000 0.02913 -0.06083 0.07525 2.21779
5400.00000 0.02533 -0.06069 0.06339 2.21793
5430.00000 0.02222 -0.05689 0.06984 2.21793
5460.00000 0.02156 -0.06068 0.07794 2.21845
5490.00000 0.02522 -0.05861 0.05967 2.21849
5520.00000 0.02364 -0.05825 0.06723 2.21829
5550.00000 0.03021 -0.05698 0.06556 2.21803
5580.00000 0.02631 -0.06475 0.05053 2.21795
5610.00000 0.02470 -0.06348 0.05097 2.21820
5640.00000 0.02788 -0.06476 0.04635 2.21821
5670.00000 0.02270 -0.06280 0.04432 2.21770
5700.00000 0.01269 -0.06453 0.03941 2.21744
5730.00000 0.01007 -0.06219 0.04465 2.21732
5760.00000 0.00878 -0.06166 0.03245 2.21745
5790.00000 0.00942 -0.06338 0.02391 2.21707
5820.00000 0.01036 -0.06596 0.01576 2.21616
5850.00000 0.01317 -0.06102 0.02954 2.21582
5880.00000 0.01703 -0.06310 0.02930 2.21557
5910.00000 0.01031 -0.06357 0.02994 2.21567
5940.00000 0.00912 -0.05968 0.05036 2.21623
5970.00000 0.01180 -0.05746 0.05218 2.21660
6000.00000 0.01870 -0.05551 0.03747 2.21625
6030.00000 0.01526 -0.06338 0.03102 2.21557
6060.00000 0.01815 -0.06125 0.03358 2.21493
6090.00000 0.01931 -0.06286 0.02890 2.21384
6120.00000 0.00651 -0.06381 0.02884 2.21319
6150.00000 0.00740 -0.05696 0.04635 2.21333
6180.00000 0.01000 -0.05265 0.04140 2.21353
6210.00000 0.01405 -0.05306 0.04379 2.21384
6240.00000 0.00986 -0.05244 0.03777 2.21373
